	26FP3I	26FP7I	26FP16I	26FP8I	26FP12I	26FP3B	26FP3C	26FP7B	26FP7C	26FP16B	26FP16C	26FP8B	26FP8C	26FP12B	26FP12C	26FP3E4.LA	26FP3E9.7.LA	26FP16E1.2.LA	26FP8E1.2.LA	26FP12E1.3.LA	26FP16E1.2.ME	26FP8E1.ME	26FP12E1.3.ME	26FP16E1.YE	26FP8E1.YE	26FP12E1.3.YE	26FP3E2.TE	26FP3E3.TE	26FP3E4.TE	26FP7E1.TE	26FP7E2.TE	26FP7E3.TE	26FP16E1.TE	26FP8E1.TE	26FP8E2.TE	26FP12E1.TE	26FP12E2.TE
26FP3I	0	0.673407767	0.195155845	0.636834845	2.975754246	3.064788559	1.67480637	1.301719084	2.49361249	1.970848959	1.982404487	2.023147854	4.583865284	1.723417291	2.488946393	1.373246328	1.412381479	1.284951498	1.509298694	1.388283961	1.302656405	1.157468875	1.325966237	0.997692889	1.160370197	1.308167429	1.453652647	1.295089116	1.798378797	1.08830177	1.791573783	1.379406603	1.527540943	1.25648972	1.532224472	1.405703129	1.641158576
26FP7I	0.673407767	0	0.664614359	0.379096126	2.440026447	2.703586114	1.938227449	1.510804645	2.835680108	1.631778671	2.164779286	1.910883143	5.215255825	1.743480683	2.626577995	1.143089161	1.612777058	1.476486583	1.771238289	1.574090491	1.256755793	1.190557425	1.374186949	1.185918148	1.184518858	1.527483171	1.352910578	1.443855318	1.950849925	0.972061228	1.609468341	1.283283648	1.246962541	1.44007788	1.41980811	1.0247031	1.186997596
26FP16I	0.195155845	0.664614359	0	0.679924969	2.908822323	3.015181647	1.518042497	1.116277123	2.361875558	1.8194162	1.863166224	1.856922626	4.55164084	1.561829777	2.390076772	1.256091206	1.266534725	1.109624282	1.37176899	1.239004893	1.176683698	1.000562845	1.153863854	0.807841034	1.017288839	1.144698988	1.370306743	1.196954009	1.776574993	0.974111791	1.733302965	1.273695602	1.438912112	1.132659975	1.438872065	1.28852891	1.545599905
26FP8I	0.636834845	0.379096126	0.679924969	0	2.421208931	2.541336918	1.899421446	1.641214073	2.751112621	1.712400258	2.01582518	1.919921844	5.131875498	1.709455453	2.432547261	1.498832387	1.840992312	1.661463192	1.979845145	1.804646274	1.574757519	1.459632325	1.622129379	1.324050321	1.469231313	1.72233453	1.69833454	1.716232583	2.225044598	1.302425628	1.971248246	1.622555997	1.620057105	1.689009843	1.768173632	1.383693264	1.555564275
26FP12I	2.975754246	2.440026447	2.908822323	2.421208931	0	1.064929424	3.083820525	3.137174059	3.763329899	1.638530797	2.803399135	2.154148182	6.953582876	2.410499003	2.83526755	2.91467249	3.522284168	3.247237056	3.703116825	3.470564253	3.174540108	3.080866898	3.106681336	2.970916141	3.130407739	3.374544441	3.324407351	3.55125084	4.170838013	2.980359137	3.471230707	3.211857988	3.002759009	3.484370142	3.323221659	2.585267619	2.574125431
26FP3B	3.064788559	2.703586114	3.015181647	2.541336918	1.064929424	0	2.958803381	3.292832788	3.458045202	1.961527508	2.439861518	2.176251577	6.619976736	2.335561506	2.26666651	3.410049311	3.810130955	3.474956447	3.961888687	3.76175083	3.592828015	3.419294029	3.431910012	3.143783303	3.487788738	3.612902902	3.805975001	3.901547519	4.579059043	3.387064314	4.040441008	3.672154493	3.557205538	3.796691667	3.819516285	3.121072856	3.200937607
26FP3C	1.67480637	1.938227449	1.518042497	1.899421446	3.083820525	2.958803381	0	0.91283413	0.928141909	1.618127872	0.772739156	1.081170231	3.927194108	0.693144929	1.370696599	2.053816092	1.58024601	1.211621934	1.600897622	1.558540021	1.903505844	1.57734966	1.451751378	1.047374168	1.690006792	1.329065302	2.281222798	1.959474969	2.737932071	1.892673319	2.705188045	2.098027494	2.344753769	1.738902669	2.279508745	2.068789183	2.375055234
26FP7B	1.301719084	1.510804645	1.116277123	1.641214073	3.137174059	3.292832788	0.91283413	0	1.731609983	1.595799933	1.603529334	1.396967499	4.189906651	1.148762142	2.211393785	1.234917362	0.687436735	0.30192955	0.756152702	0.658450907	1.025319427	0.707961412	0.56073315	0.32887206	0.819397227	0.435566246	1.407232654	1.079846708	1.882443438	1.08232556	1.830784871	1.225093855	1.52164276	0.854036162	1.396619498	1.345752434	1.656296113
26FP7C	2.49361249	2.835680108	2.361875558	2.751112621	3.763329899	3.458045202	0.928141909	1.731609983	0	2.382949519	1.051133742	1.720877519	3.393420762	1.426496162	1.353431089	2.942541803	2.323119211	2.007692482	2.283915261	2.314773719	2.755761735	2.434545434	2.284729995	1.926335695	2.544230182	2.096137369	3.133528405	2.747868145	3.476184728	2.779872773	3.560555058	2.95479706	3.23433306	2.52080195	3.127299366	2.98050028	3.286749689
26FP16B	1.970848959	1.631778671	1.8194162	1.712400258	1.638530797	1.961527508	1.618127872	1.595799933	2.382949519	0	1.644374058	0.698064045	5.535752396	0.985101032	1.966002328	1.736655967	2.056136525	1.73885146	2.216460477	2.006100876	1.883287156	1.702513364	1.643264659	1.521036351	1.788799178	1.880956573	2.163681909	2.235773405	2.993271608	1.777237829	2.441949206	1.992612102	1.945710204	2.103724353	2.140315881	1.495475041	1.649606731
