	26FP12B	26FP12C	26FP12D	26FP12E1.3.LA	26FP12E1.3.ME	26FP12E1.3.YE	26FP12E1.TE	26FP12E2.TE	26FP12I	26FP15B	26FP15C	26FP15D	26FP15E1.3.LA	26FP15E1.3.ME	26FP15E1.TE	26FP15E2.TE	26FP15E3.TE	26FP15E4.6.LA	26FP16B	26FP16C	26FP16D	26FP16E1.2.LA	26FP16E1.2.ME	26FP16E1.TE	26FP16E1.YE	26FP16I	26FP17B	26FP17C	26FP17D	26FP17E1.2.LA	26FP17E1.2.ME	26FP17E1.TE	26FP17E2.TE	26FP18B	26FP18C	26FP18D	26FP18E1.3.ME	26FP18E1.TE	26FP18E1.YE	26FP18E4.8.LA	26FP3B	26FP3C	26FP3D	26FP3E2.TE	26FP3E3.TE	26FP3E4.LA	26FP3E4.TE	26FP3E9.7.LA	26FP3I	26FP7B	26FP7C	26FP7D	26FP7E1.TE	26FP7E2.TE	26FP7E3.TE	26FP7I	26FP8B	26FP8C	26FP8D	26FP8E1.2.LA	26FP8E1.ME	26FP8E1.TE	26FP8E1.YE	26FP8E2.TE	26FP8I
26FP12B	0	2.276381483	0.83873141	1.870030329	1.602338769	1.348605215	1.850005523	2.542982665	1.789659246	1.150407494	2.95308767	0.451040615	2.018635198	1.762650621	2.112905874	2.647010844	1.797411033	1.829713485	0.746738436	0.658285092	1.64956234	1.503844484	2.406555489	2.291765367	1.746744336	1.483784195	1.782541784	1.998354316	2.16953201	2.28127981	1.775814153	2.450138701	2.886856825	0.982265491	0.798484459	0.964878574	1.888667659	2.127729049	1.870147765	2.555410323	1.630193	0.139570519	1.007332754	2.484115912	2.008528384	1.999134424	2.846548276	1.532238492	1.621242708	1.461904435	0.794135267	1.415583717	2.122801443	2.609748158	2.174857439	1.902941857	0.465172989	3.550259698	1.181981664	1.560418756	1.602948158	2.274221205	1.824023566	2.398260295	1.86491447
26FP12C	2.276381483	0	3.090737033	2.778728369	3.369185318	2.536838436	3.140277116	3.060232984	3.74910241	3.377930089	0.723736059	2.675443273	3.733153214	2.417500456	2.488362227	2.775456223	3.442890285	2.820367518	2.990455339	1.935813435	3.912094079	2.484337063	2.839330373	3.715800792	2.034622791	2.751024764	4.020915547	0.833555368	4.362819735	3.986956484	2.823794	3.765907097	4.433190813	1.349346139	2.20780001	3.223843509	2.983691819	3.481299042	2.69063181	3.336182377	1.517311226	2.157704921	3.220733003	3.226390105	3.226329676	3.262147262	4.401831189	3.0855739	2.769127273	3.704926599	2.632322611	3.642411898	2.901453456	4.1203334	3.453944329	3.014729097	2.037422987	1.472624448	3.341005602	3.148237727	3.066286814	2.717228973	2.673140809	3.265793631	2.705112814
26FP12D	0.83873141	3.090737033	0	2.143422169	1.408187164	1.661458885	1.897271394	2.818189519	1.198366451	0.377736171	3.76451791	0.45310085	1.763469847	2.161720093	2.522646095	3.055118606	1.629102905	2.061401364	0.325288095	1.288804982	0.821612293	1.865584632	2.744245358	2.154605749	2.280477864	1.544611601	0.944614223	2.814007203	1.403173012	1.970631963	2.002767952	2.3397591	2.580102885	1.774037228	1.364911037	0.370479396	2.049935113	2.085802581	2.180948071	2.70707131	2.205414981	0.950482627	0.366447707	2.673259936	2.056333691	2.027969669	2.524890934	1.536793895	1.687088752	0.665237862	0.971266423	0.587570523	2.354542098	2.366369779	2.14932864	1.936713552	1.214407881	4.368960166	0.612835915	1.532744928	1.615732498	2.630987422	2.119162314	2.55319595	2.021907323
26FP12E1.3.LA	1.870030329	2.778728369	2.143422169	0	1.112296819	0.522457184	0.568331044	0.727335237	2.103747282	2.104052738	3.145985203	1.815865088	1.252111269	0.390544533	0.587072442	0.981519896	1.024260256	0.156899592	1.857421408	2.323279896	2.650599568	0.390212263	0.641927953	1.064847637	0.785369966	1.336244651	2.702900605	2.937464545	3.423249186	1.449155783	0.165944818	1.103120853	1.783531032	2.216904583	2.528882882	2.368103591	0.287110682	0.787633561	0.108486014	0.777615614	2.028381802	1.796351331	2.4989887	0.666013042	0.575954096	0.605364099	1.800887508	0.75893096	1.460140508	2.292365234	2.65138269	2.58041076	0.438854872	1.462742946	0.778750292	1.186695259	1.573896521	3.434961425	1.795284148	0.811301142	0.707495303	0.56285835	0.195436854	0.592298276	1.416304776
26FP12E1.3.ME	1.602338769	3.369185318	1.408187164	1.112296819	0	0.923445894	0.685318875	1.697294886	1.21058661	1.214841564	3.889750611	1.300691944	0.417602767	1.358707176	1.654431649	2.072627043	0.257389042	1.01437213	1.15080233	2.193975043	1.656446946	1.086460255	1.70519411	0.795329552	1.693645943	1.235113756	1.688324126	3.326044286	2.449222353	0.691417431	0.953693743	1.006262592	1.319059006	2.377046709	2.321891397	1.615183219	0.90488394	0.717034466	1.201181183	1.485349738	2.402682303	1.609542349	1.757765033	1.473517169	0.807651582	0.751741046	1.30950512	0.36678807	1.409689547	1.297173566	2.216958921	1.673361756	1.295394582	1.043265398	0.82550972	1.242473493	1.559500636	4.310299873	0.8640334	0.308793498	0.477794705	1.643627894	1.163726767	1.315713973	1.608738027
26FP12E1.3.YE	1.348605215	2.536838436	1.661458885	0.522457184	0.923445894	0	0.675906023	1.222142267	1.817229207	1.672050414	3.004393943	1.306953456	1.223254634	0.540883751	0.905416335	1.40896725	0.949723025	0.493894986	1.378328358	1.825850455	2.243010502	0.211011058	1.109127007	1.23439023	0.795532318	1.088035959	2.313819883	2.59648291	2.99186629	1.477549255	0.435849882	1.340076889	1.955140204	1.778544935	2.025915299	1.884228287	0.580899554	0.982133032	0.536084882	1.242597825	1.750297769	1.278830944	2.00839032	1.154588493	0.795878916	0.803128004	1.950170954	0.577950539	1.247194791	1.897772078	2.129184082	2.140573184	0.832798339	1.631729162	1.007275057	1.141551758	1.076260833	3.392356897	1.396589916	0.643432307	0.586445955	0.995082525	0.50737281	1.068623107	1.309246429
26FP12E1.TE	1.850005523	3.140277116	1.897271394	0.568331044	0.685318875	0.675906023	0	1.031657924	1.617115475	1.770731401	3.566159627	1.661962841	0.770697782	0.842545332	1.052294661	1.434351552	0.519663628	0.434118381	1.637164426	2.350110823	2.281588029	0.72787913	1.059331135	0.577339044	1.23054603	1.086080625	2.29880722	3.256616042	3.063837364	0.940247444	0.426345661	0.666098619	1.30485672	2.384278686	2.590918054	2.150864108	0.290103957	0.367209246	0.652590266	0.828110387	2.164347911	1.804893981	2.263220638	0.811860855	0.162718283	0.155531675	1.298533148	0.439574987	1.222714084	1.914844267	2.582937849	2.238996692	0.620898867	0.984336333	0.343488741	0.888803478	1.682353341	3.927830201	1.441905119	0.469991973	0.282212837	1.008589606	0.589847634	0.674696863	1.265297061
26FP12E2.TE	2.542982665	3.060232984	2.818189519	0.727335237	1.697294886	1.222142267	1.031657924	0	2.587086844	2.7538983	3.285693776	2.494852689	1.706262609	0.816914381	0.581063868	0.509193393	1.528105746	0.767680387	2.549151549	2.924797923	3.294504649	1.067071196	0.237740821	1.300087042	1.073183841	1.723790893	3.319114022	3.375814122	4.070576715	1.804378488	0.84406388	1.206307937	1.886278126	2.751675329	3.199954624	3.067965894	0.808226414	1.11795615	0.699585319	0.409860282	2.321846551	2.455989381	3.178910654	0.300146882	0.924264253	0.978430956	1.910297362	1.393379387	1.782224603	2.929007782	3.332990995	3.224852884	0.489632056	1.621636524	1.025002296	1.40260772	2.23971115	3.470277612	2.440399741	1.434955221	1.279609402	0.354154164	0.72266867	0.452942326	1.602211633
26FP12I	1.789659246	3.74910241	1.198366451	2.103747282	1.21058661	1.817229207	1.617115475	2.587086844	0	0.897794827	4.338853294	1.361836518	1.350599109	2.212047519	2.494666353	2.967275321	1.276137545	1.964329805	1.230266177	2.1841567	1.160241244	2.008339166	2.61137969	1.606624716	2.45674578	1.242965376	1.029917616	3.697271553	1.779183867	1.387527861	1.940838707	1.739860809	1.784521881	2.584370048	2.495886391	1.488301184	1.881578201	1.711294892	2.162257694	2.329339902	2.485703319	1.832800647	1.432706071	2.363779107	1.724682434	1.699267981	1.676465261	1.457844146	1.327519116	0.906616897	2.115527551	1.096939879	2.121121995	1.676402922	1.715337946	1.424506804	2.028504832	4.921913391	0.841669904	1.437612475	1.414143796	2.533737765	2.059667882	2.247562729	1.656322894
26FP15B	1.150407494	3.377930089	0.377736171	2.104052738	1.214841564	1.672050414	1.770731401	2.7538983	0.897794827	0	4.031110819	0.711252887	1.517669189	2.179455243	2.531299758	3.046729826	1.425839302	2.007296487	0.461806047	1.632592552	0.609850373	1.882802813	2.710723179	1.935583983	2.35892766	1.504498663	0.686496146	3.146933582	1.329119815	1.691448649	1.950054301	2.12521916	2.284762677	2.091863929	1.729273183	0.598755138	1.964891481	1.910354248	2.156533361	2.591381554	2.396981111	1.245442468	0.625014549	2.574617434	1.92086193	1.885570173	2.225988354	1.421241452	1.649624776	0.333621448	1.344153974	0.478490043	2.288181628	2.098610351	1.97742353	1.83480714	1.463573528	4.615009997	0.351466373	1.403627775	1.494667835	2.610143761	2.090958524	2.443138888	1.994198212
