OTUID,PC1,PC2,PC3
26FP3I,-0.111479048,0.02294983,0.399829781
26FP7I,-0.104592009,0.12242315,0.317238386
26FP16I,-0.095121649,0.015266667,0.31808
26FP8I,-0.174401665,0.108174557,0.408262122
26FP12I,-0.294763506,0.329549701,-0.106514907
26FP3B,-0.463482711,0.238457207,0.052156486
26FP3C,-0.114723931,-0.141011486,-0.12215893
26FP7B,0.021984916,-0.078508466,-0.113325443
26FP7C,-0.160192394,-0.275213911,-0.22144861
26FP16B,-0.109435513,0.105513361,-0.271418837
26FP16C,-0.255897623,-0.118639725,-0.054819233
26FP8B,-0.134939096,-0.003290346,-0.310078858
26FP8C,-0.04585713,-0.723941916,0.248197248
26FP12B,-0.150941186,-0.043527726,-0.174581421
26FP12C,-0.358030658,-0.123602805,-0.057390898
26FP3E4.LA,0.109264504,0.094102388,-0.032403984
26FP3E9.7.LA,0.127475135,-0.062703389,-0.078769308
26FP16E1.2.LA,0.06594305,-0.063055074,-0.096676094
26FP8E1.2.LA,0.138767643,-0.093357682,-0.078188895
26FP12E1.3.LA,0.122080462,-0.056655406,-0.080951019
26FP16E1.2.ME,0.121831062,0.038777423,-0.023730566
26FP8E1.ME,0.079829006,0.007595642,-0.033872978
26FP12E1.3.ME,0.090661396,-0.015028378,-0.122896526
26FP16E1.YE,-0.00473281,-0.038625096,-0.007496538
26FP8E1.YE,0.090551458,0.016035722,-0.009936753
26FP12E1.3.YE,0.085321982,-0.069294597,-0.078967641
26FP3E2.TE,0.156053557,0.075663433,0.039993802
26FP3E3.TE,0.137624491,-0.00999638,0.058599363
26FP3E4.TE,0.224935188,0.008179986,0.211435246
26FP7E1.TE,0.074420307,0.065164555,0.059812764
26FP7E2.TE,0.205860941,0.125008779,0.047220933
26FP7E3.TE,0.138495971,0.062603109,-0.000309563
26FP16E1.TE,0.135144581,0.128376754,0.000135616
26FP8E1.TE,0.119356869,-0.031583818,0.01433188
26FP8E2.TE,0.169191381,0.074286644,-0.006748833
26FP12E1.TE,0.070754644,0.131679911,-0.043239512
26FP12E2.TE,0.093042386,0.178227381,-0.049368278
