OTUID,PC1,PC2,PC3
26FP12B,-0.13390071,0.02389769,0.075994103
26FP12C,-0.213222026,-0.251749991,-0.011909132
26FP12D,-0.119179719,0.117944879,0.018026812
26FP12E1.3.LA,0.087692679,-0.052661156,0.094661722
26FP12E1.3.ME,0.058963529,0.079574738,0.08212056
26FP12E1.3.YE,0.027064148,-0.028105086,0.089403822
26FP12E1.TE,0.083951214,0.002830307,0.00248044
26FP12E2.TE,0.142797854,-0.109002569,0.003015667
26FP12I,-0.049193302,0.13662624,-0.261737423
26FP15B,-0.084739474,0.142532439,-0.005910249
26FP15C,-0.199861543,-0.339797408,-0.029497731
26FP15D,-0.109893569,0.064026419,0.028838426
26FP15E1.3.LA,0.108529244,0.098456737,0.088541061
26FP15E1.3.ME,0.048273047,-0.089037783,0.037034404
26FP15E1.TE,0.072632187,-0.124993073,0.006034105
26FP15E2.TE,0.130466953,-0.164212716,0.043832268
26FP15E3.TE,0.079539849,0.067100265,0.03837647
26FP15E4.6.LA,0.079743935,-0.043594095,0.048915189
26FP16B,-0.082594179,0.101396326,0.08302385
26FP16C,-0.215660863,-0.018080928,-0.047214753
26FP16D,-0.095063618,0.217035263,0.032596959
26FP16E1.2.LA,0.040632614,-0.049748793,0.104298111
26FP16E1.2.ME,0.122498817,-0.119474851,0.033374135
26FP16E1.TE,0.135336759,0.048417367,-0.013911178
26FP16E1.YE,0.0139213,-0.127726758,0.024755089
26FP16I,-0.053590157,-0.017647447,-0.303361124
26FP17B,-0.095115582,0.222804031,-0.04222157
26FP17C,-0.237504148,-0.17898175,0.189447556
26FP17D,-0.171903851,0.280297584,-0.007093896
26FP17E1.2.LA,0.130076121,0.113133299,0.04313611
26FP17E1.2.ME,0.078996274,-0.035413483,0.07703348
26FP17E1.TE,0.147417406,0.031688298,-0.061160509
26FP17E2.TE,0.188746268,0.108838288,-0.066516507
26FP18B,-0.200049284,-0.086470243,-0.000833063
26FP18C,-0.197134051,0.023516652,0.227217276
26FP18D,-0.124643573,0.144389666,0.12853944
26FP18E1.3.ME,0.091811844,-0.026273576,0.047563846
26FP18E1.TE,0.128062593,0.028432234,0.054254345
26FP18E1.YE,0.081262034,-0.065374532,0.083518652
26FP18E4.8.LA,0.152544545,-0.067547076,-0.044296221
26FP3B,-0.175244501,-0.151471423,-0.347707525
26FP3C,-0.131687279,0.007093385,0.060426364
26FP3D,-0.156695528,0.141533722,0.028357161
26FP3E2.TE,0.147546855,-0.073600827,-0.006295359
26FP3E3.TE,0.102183264,-0.003646384,-0.004009339
26FP3E4.LA,0.104555961,0.004522367,0.012578491
26FP3E4.TE,0.171683181,0.107501918,-0.120845491
26FP3E9.7.LA,0.059102725,0.035499911,0.090924903
26FP3I,-0.063160653,-0.029665326,-0.373249432
26FP7B,-0.067335466,0.182168089,0.020989666
26FP7C,-0.215326084,0.075255563,0.096323774
26FP7D,-0.128864846,0.182692961,-0.042493544
26FP7E1.TE,0.092738413,-0.073110674,-0.048955448
26FP7E2.TE,0.167056342,0.084772096,-0.027412837
26FP7E3.TE,0.123196935,0.014006103,-0.008837307
26FP7I,0.003541329,-0.029516543,-0.322612153
26FP8B,-0.095196795,-0.013818369,0.155241505
26FP8C,-0.134187726,-0.404370036,0.143159182
26FP8D,-0.042076764,0.126013067,0.02516089
26FP8E1.2.LA,0.063317303,0.043598092,0.099788006
26FP8E1.ME,0.055203462,0.021066228,0.011194045
26FP8E1.TE,0.10385027,-0.117343013,0.025888553
26FP8E1.YE,0.068494732,-0.064322834,0.028978939
26FP8E2.TE,0.147414285,-0.052526004,0.025039497
26FP8I,-0.047820977,-0.069377475,-0.412003083
