description,26FP12B,26FP12C,26FP12D,26FP12E1.3.LA,26FP12E1.3.ME,26FP12E1.3.YE,26FP12E1.TE,26FP12E2.TE,26FP12I,26FP15B,26FP15C,26FP15D,26FP15E1.3.LA,26FP15E1.3.ME,26FP15E1.TE,26FP15E2.TE,26FP15E3.TE,26FP15E4.6.LA,26FP16B,26FP16C,26FP16D,26FP16E1.2.LA,26FP16E1.2.ME,26FP16E1.TE,26FP16E1.YE,26FP16I,26FP17B,26FP17C,26FP17D,26FP17E1.2.LA,26FP17E1.2.ME,26FP17E1.TE,26FP17E2.TE,26FP18B,26FP18C,26FP18D,26FP18E1.3.ME,26FP18E1.TE,26FP18E1.YE,26FP18E4.8.LA,26FP3B,26FP3C,26FP3D,26FP3E2.TE,26FP3E3.TE,26FP3E4.LA,26FP3E4.TE,26FP3E9.7.LA,26FP3I,26FP7B,26FP7C,26FP7D,26FP7E1.TE,26FP7E2.TE,26FP7E3.TE,26FP7I,26FP8B,26FP8C,26FP8D,26FP8E1.2.LA,26FP8E1.ME,26FP8E1.TE,26FP8E1.YE,26FP8E2.TE,26FP8I
N10-formyl-tetrahydrofolate biosynthesis,5777.677191,2782.764396,3618.925536,13630.64162,11356.3079,9145.711,47131.36,61519.42,8730.427806,5560.366147,7691.534093,3122.768178,9509.238745,16520.39143,4250.97991,10826.88416,7278.993779,12032.08,5922.539634,2213.988671,6091.397,9546.808435,13412.23891,17746.72898,8201.926208,16.0507494,6524.58409,5390.232393,10005.94,12863.1,13582.18892,14570.05364,18732.6,3657.128852,7263.746,10077.13848,10950.32542,11150.53,14708.57777,21445.76,9120.600113,4492.232973,3441.152548,17568.51128,12455.60395,15686.73185,59297.78,13297.37,12.76831,6359.38,4831.130862,4627.884172,7082.440136,7964.576,10109.75941,270.788195,10575.6142,13565.69388,12962.46787,12380.49598,6608.53357,4777.147518,10760.54702,6945.516947,1011.857642
4-hydroxyphenylacetate degradation,6012.577985,2287.295547,3377.157074,4850.538366,3856.068053,4020.142,21900.75,40597.65,663.535671,5670.392653,8244.135388,2984.480841,4157.752739,5970.850295,1566.562866,3841.812515,2751.911609,4374.567,5993.333655,1285.833838,5695.589,3215.712419,5735.469156,8490.499983,3003.135031,7.2064075,5888.792772,4002.072523,8729.96,3840.433,5573.12969,6995.936263,6284.415,3237.981031,7072.405,8611.516836,4022.76833,5226.1,5758.785093,9095.654,844.473255,4603.903574,3094.636585,5654.644064,3971.001848,7293.112091,39894.61,4543.731,0,6471.619,3647.813679,4553.316002,4044.175562,4086.852,4364.591967,19.085185,10785.6663,7222.87029,11995.32039,3604.431433,2836.283813,1903.58804,3857.588942,2116.117996,591.8081178
aerobactin biosynthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.12976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
superpathway of chorismate metabolism,1215.245394,759.6772319,373.148234,0,0,0,76.84253,0,51.3594,143.361007,1298.592772,346.3824,13.512473,0,0,0,13.636807,0,422.802445,628.397299,175.5975,0,0,28.330265,0,0,70.657104,3010.228092,243.0364,56.54288,0,42.415405,14.44193,3767.838924,2554.979,755.196027,0,29.14812,0,0,850.28326,2724.400811,254.987198,0,0,28.315133,27.11537,9.046453,0,76.26908,896.703218,158.090903,0,3.540095,15.927189,3.725581,4350.55137,11706.85671,2198.677674,0,0,0,0,0,18.4441705
homolactic fermentation,6020.060382,3623.563144,3681.412926,12838.00637,10804.58753,8803.037,45002.46,59465.2,5967.821393,5742.790201,9335.247344,3206.055154,9098.02218,15630.8119,4027.546207,9983.491651,6937.402018,11463.55,6030.895395,2765.212431,6121.923,9143.293074,12584.40345,17002.72496,7757.659605,16.7788119,6781.112992,6596.400276,9714.719,12033.34,12970.28767,13941.08729,17350.6,4642.12942,7440.096,9981.474021,10404.21318,10814.11,14079.69022,20555.69,8198.946622,4795.061318,3405.984447,16309.60538,11782.38455,15113.20704,59258.85,12658.77,14.881609,6510.889,5204.757416,4620.322486,6798.244961,7644.147,9638.791939,222.717863,11086.09269,20289.62477,13407.88003,11363.66937,6273.496327,4497.621926,10137.91441,6487.4696,886.594474
glycolysis III (from glucose),5770.093429,3569.307159,3595.12095,13007.67899,10821.73566,8749.975,45542.71,59559.19,11283.85947,5449.775963,9232.961312,3086.702076,9141.385734,15749.30006,4070.338767,10352.5186,6934.436784,11503.42,5741.332155,2740.895378,5900.615,9151.031381,12789.0647,16906.132,7788.804828,19.4928448,6485.312371,6605.10018,9606.882,12252.28,12998.67976,13995.8155,17728.45,4651.430106,7260.662,9766.043552,10468.55067,10728.33,14069.93609,20555.26,12585.23934,4730.355678,3332.113535,16678.37887,11978.62284,14978.28824,57388.19,12706.62,14.668654,6188.545,5132.616996,4424.483475,6796.681393,7621.732,9657.94986,375.713795,10702.02922,20122.90314,12916.26985,11419.99947,6320.613349,4577.587661,10303.39901,6584.417828,1196.226268
superpathway of arginine and polyamine biosynthesis,1472.620209,3217.703644,1431.931287,3413.082505,1761.279058,1293.663,19071.05,21723.98,2789.072696,1040.517156,5252.917692,1135.78242,2722.13948,4103.546868,1297.891033,3647.179192,1350.699162,2457.125,1476.605394,1296.270972,2351.453,1851.934511,4164.997843,4111.377802,1683.695689,10.2230835,2313.922465,4974.430764,5064.779,3625.825,2956.038722,3915.545289,6304.387,4149.753808,3072.438,4882.898214,2517.409489,1942.216,2619.773998,5023.331,2066.929918,2946.793123,1704.857112,5244.391814,3170.740324,2832.643328,15640.81,2402.928,2.979976,1472.556,2584.057024,1732.832789,2108.062243,2186.355,2249.816539,68.775419,4541.912789,9475.174752,4539.056752,3168.935772,1728.440126,1468.100253,3488.903106,1718.950155,199.2827163
"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",701.192302,2295.602743,222.187654,0,0,0,752.3066,48.62888,90.242225,102.378996,8634.307488,245.145265,7.530059,13.412284,0,0,51.591947,0,325.81943,109.329148,177.3813,0,0,6.754321,0,6.1300328,87.808107,3018.58686,214.1746,1.885159,0,0,186.3706,200.683219,1562.433,435.067052,0,35.94948,12.16064,0,819.226671,2626.405732,145.852158,154.906702,0,6.934406,1470.954,92.83454,0,85.02059,118.275874,102.521061,0,60.38066,0,0,3061.629902,9395.366075,1254.299286,0,0,29.880879,0,6.788137,2.3869615
"arginine, ornithine and proline interconversion",373.03069,85.5449754,505.428452,3.994452,0,0,2072.864,619.3227,638.028382,141.718345,94.104464,283.145401,44.18597,35.630417,4.024922,1.665921,10.375302,0,385.573875,517.951478,520.4374,3.420642,0,2.997439,0,0.9295775,422.531215,451.221084,2468.329,4.758208,0,18.105421,11.20929,1570.640666,1395.008,1886.222414,0,22.27951,9.430292,82.90836,705.854482,902.413191,723.941722,67.327981,7.976998,17.857946,46.62973,3.572176,1.567747,260.5239,1037.749249,660.169563,56.780975,35.18189,4.787725,9.697888,645.653766,14136.06398,1852.383997,0,0,0,0,0,644.2796395
L-arginine biosynthesis I (via L-ornithine),2622.896991,5483.982005,2188.313341,10120.85982,8530.85102,6698.075,39386.27,44423.75,9239.852908,1988.93511,8644.791768,1860.377425,6798.031157,12286.16989,3225.982223,8800.623993,5469.551279,9026.641,2349.928069,9664.0529,4149.917,7199.513237,9422.03005,12741.85352,6136.175938,16.8224111,4022.262087,10080.17708,8402.667,9448.905,9953.036162,10891.62656,15168.65,5076.133656,5197.21,7562.655362,8160.867264,8167.266,10958.66708,16517.5,9863.975152,3589.84224,2745.934544,13549.63186,9737.435505,11769.10624,44016.63,10099.67,11.260777,2381.059,5447.298424,3012.555341,5145.040411,5632.615,7481.514184,279.616247,6203.529743,11355.51367,6583.900846,9322.864507,4732.35219,3603.008737,8049.017596,5303.370744,1152.05465
L-arginine biosynthesis II (acetyl cycle),5950.848512,6088.904317,3664.423645,8531.784928,6538.407025,6170.366,36155.62,55530.61,9705.046693,5768.655603,9259.809169,3187.130544,6773.599812,10504.49823,2783.628003,7118.607115,4555.173323,7442.856,6160.121465,11004.72591,6179.928,5689.763148,9650.626541,12827.47176,5188.689117,14.1782863,7620.671042,11268.95501,10236.9,7294.317,9012.50049,10756.79869,12119.54,5471.792258,6920.156,10141.81693,6922.934979,7772.164,9302.509524,14378.13,10218.58621,3925.566334,3507.668092,10687.23986,7417.737549,11150.93472,51376.7,7811.503,12.330532,6639.229,6906.752554,4818.467899,5760.08799,6147.008,6996.399642,290.476039,9972.683131,11608.30722,12805.19683,7146.08733,4674.738119,3217.351038,7232.330218,4042.831648,1225.067306
chorismate biosynthesis I,6388.404659,5868.164756,4108.469465,14133.52102,11856.15187,9552.382,50243.87,65989.99,11193.49343,6072.008361,9919.538136,3458.161226,9953.96784,17225.04432,4439.806388,11356.23555,7566.306263,12547.8,6534.946625,9895.178808,6804.775,9944.39519,13950.51537,18436.97045,8525.758619,19.6555827,7943.763624,11064.38543,11909.92,13348.49,14180.90819,15316.7581,19694.26,5481.657367,8203.557,11724.96634,11412.462,11714.87,15328.06561,22425.19,11504.66118,5041.06589,4060.422521,18202.00956,13163.46099,16529.0628,63101.02,13875.57,14.721234,6975.603,7168.215954,5284.85704,7504.347153,8416.045,10578.77639,346.588065,11522.42691,18624.35461,14200.82726,12429.01915,6952.725393,4998.293466,11295.17181,7208.011363,1323.364706
