OTUID	taxonomy	Confidence
0004c7e00a48b7144735ee293197e141	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured_bacterium	0.737071247
000ccea0828334d2ea063a2cea0d0438	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae	0.995828122
0017d61f1235bdcda7432ea76da04caf	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.784076892
001efeae1a41041d6b1f322035330f0a	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999816
002ec03878544c03bfc5de841ffd1037	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae	0.999988536
005e9c760be778fdbb262db98f517013	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999957
0077869abf66171bc8ba8c2543dad261	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__uncultured_bacterium	0.762728354
007c6456156ba3ccc6b5c5b27ccbe61e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.990964767
00c994cd8a8a32ac2d84c4e5fb102c52	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_lindneri	0.999999255
00eb06849490e9ee93bcd927770f1673	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.999998902
00f5926ac6ec414042085a92245728b1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999997326
0102b223fb5b48af94a06c1702a7391e	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae	0.705095957
0116a904eee3db53a51590333f665b47	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured_bacterium	0.752409785
012c7822d49362a2329e6084e36b0c09	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999975169
01353923e2e6219198b8d092099e0d9f	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae; g__Carnobacterium; s__Carnobacterium_maltaromaticum	0.86864105
015253c894cbf9c910bb55d149e37be1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Orbus; s__Orbus_sasakiae	0.999541759
017464dfafd1ad37091f0485fcb061b7	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999226
01993aba463e74b6c31b2cebdc8f5ff1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999983
01a70d4b7d15afd490606a660b1c8e33	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.945760306
01b9fd5019f544a251d757a652f85575	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.99999684
01ce8624b5f72c4af723f7632bc059d8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes	0.999716546
01d6ced419633632b4f69eb68893915e	d__Bacteria	0.936878501
01df1af43975f04c7198941f5f84aa63	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.883065316
01ebc60a4241fabcb65bfde65afab7fc	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Marinifilaceae; g__Odoribacter; s__uncultured_bacterium	0.882350746
01edd53eeb2aab1dcd71b4f1f55d05a4	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__uncultured_bacterium	0.869447195
020037d6cd967f562d12f199fec0d300	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae	0.999729297
020735da7f69488e303574c6a67ed6e6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999962846
020f661e0d3f7f0d7d8546d8b9e5e50e	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0.999999717
