Species,PC1,PC2,PC3
31de3d22f5b19325735267725f1f49e8,-0.073613538,0.084120374,-0.020980082
ad527676fd8412e9a8c6c92496f086e6,-0.009236847,0.055736021,0.014326245
df84fc8bb4693ad5e425dd42a2e8ee08,0.011536236,-0.008304356,0.003782043
929805da29bce3a9838d81700d0a5770,-0.094878649,0.05422226,-0.002877107
25391336561bc9b5fe1fca16f3aaa8c1,0.006046536,0.001859717,-0.007777778
26547c96837ae7efcfa67fca0cc71140,0.00798658,-0.029614514,-0.004933445
746507837ddc19e543b934d36caedd60,-0.003893829,-0.000669874,-0.00050436
92a2e7f5fb25cfa28e6cd8ca5388d98a,-0.003966458,-0.002137963,-7.55E-05
7e537c12b9af4d0e06d9c229f25d2176,-0.01100679,0.012735078,-0.017256483
cc0ca0ebc5897747448fb64a7ab01ac3,-0.010632817,-0.004790787,-0.000740594
d30c0f6c5d3b2554b4f31c1d43e833dd,0.028725611,0.003626787,-0.006426816
dbc7407c0c194353c292d8aa95922b3a,0.045231033,0.078166515,-0.06039686
2729dc9120e3bd800d6a86c4787809c3,-0.006267781,0.008312155,-0.012833751
4127ed1a1e8f9dac46c2895299b26505,0.067535742,-0.043505144,0.058770455
e380e9f1890ff71f063a901382aecd43,0.016733114,-0.008453018,0.003856345
c60cf2a6c2498f32af660492f7517918,-0.048210885,0.030225773,-0.034473908
8b5eb8d0eba9fc4b1d5bccc55b936192,0.002821607,-0.000157809,-0.004365951
8287c0f8871af1bd9ba7b2d9b843e6b5,-0.026123489,0.01707115,-0.021437823
73b9a313c153726841a55e295f19bdb5,0.008717555,0.00316059,0.004914929
141e97c510eaccbf07a0ccf26a296185,-0.009471211,-0.001531443,-0.00270232
b1a2bef80d778f7712aa436d042ed05d,0.016181975,0.001792819,-0.005426358
a4cd6152db4ba6371bd3d35fcda62a19,-0.079307631,-0.016097684,0.024937976
fc6bfc5dedfd268214f8d34ca4abeaf8,0.010569142,0.005286149,-0.011482462
c64d0b194420756c348758b5e64f855e,-0.001744345,0.020501567,0.049782242
e5249b4b25a6dca811e2c7320938e46d,-0.015591002,0.017013528,-0.021534749
e289fe9035a3575d3f1ab134e5810ee5,0.077189177,-0.039778698,0.040609917
f04a029a175f31779bb6a101c845618d,-0.009427172,0.007127301,-0.011583578
31e48dc3a914bdba883ceedbe707f196,0.000114749,-0.001072007,-0.002374379
6c5692fc0f67ccdf8e2a28efdff18788,0.011535813,-0.005357654,0.000788874
