Species,PC1,PC2,PC3
0cdbe4a79d56f6081bec08b57b345d6f,-0.077009751,0.032596984,-0.084665116
c7ddeeeb651ad5a1e1525eb209fff779,-0.002534665,-0.000223915,0.004335876
538a70646ffd175cea2685f78bc317cb,-0.043397089,-0.125206409,0.074596737
f927aed81c52c3649fa45f3788a58997,0.001396494,-0.000603468,0.00687873
d44532ddd05c25fdbcb2a8ed35e7951e,-0.018556143,-0.013262889,-0.005729452
592fe1e36589ff068a84c906ad8a52f2,0.009121039,0.004561276,0.01570887
9db2817f5c42be6a7bcbca662959982d,-0.016166865,-0.003963334,-0.006871652
069fac3bd2ab8c0ae22aa93448e68422,-0.002534665,-0.000223915,0.004335876
55edc0af8b8f176ac911f5e3ec0b4412,0.002883309,0.010689559,0.010120862
f1e9e2decf8e4775930e97d4c0da31ee,-0.006158476,0.003513103,-0.001385445
4bd70e9335f891aaa8789b1d4ea09d2a,0.02244867,-0.025480251,-0.009161361
f3a93eb61dcac2de3c661ca0e785c6cc,0.012016036,-0.007338322,-0.007149018
fb3d50dfbf4f31a0e858d084f82adc99,0.028997943,-0.045045677,-0.00614039
8e2781fd62b3238924cd6d8ac3332f5f,0.003262411,0.005026064,0.005776485
029b3572fa2c245a4631cacfb78df609,0.006061707,0.002829723,0.013678481
fc7fe8a11f8601769081bf1e9a67fc5a,0.026097631,-0.024049122,-0.013713848
101637aba474a6614786486ad42acb11,-0.016953984,-0.00318321,-0.010099543
ec098ad12ef2923b449a01762462578b,0.004300932,-0.004337715,0.005941984
4127ed1a1e8f9dac46c2895299b26505,0.015291276,-0.199249082,0.046639359
8b5eb8d0eba9fc4b1d5bccc55b936192,0.001221415,0.001599666,0.007385978
1bdd4480527609dcfe3db5fdffe989dc,0.003398378,0.016882696,0.000191686
c64d0b194420756c348758b5e64f855e,0.001739311,-0.045912564,-0.054686271
9476516f65cf170c1de18452b2feb370,0.03584076,-0.027988808,-0.051486977
3a2aaf78890765ece3290fe84a246f3d,0.010479414,0.00024256,0.017442839
a2c3631b8f9cc7a06aac856a707647e6,0.005003118,0.057900479,-0.010511541
d0526d38528e2c26acb632014d01e1fa,0.013555874,0.003933388,0.0168366
3722793fd0709252e625d0743cb52015,0.007370202,0.000439387,0.016669297
81b50cbc69b355d6a2207d370e9634c5,-0.008160813,-0.023034981,-0.005194132
31c5d6d689fe24ec7157fa1c0783fbd4,0.036329562,-0.066411288,-0.047716457
abc20d011da8d413cc9ccaf5aa0fda44,-0.009285073,-0.11893343,0.054056208
ba9b206981921e7b165020e9de2549c9,0.003879922,0.006618446,0.00535683
cae8eb691b7e3af0c13b944054153357,0.008751609,0.019280793,0.000856514
f5534cb200f64622158fafafe0dce03b,0.001461246,0.001483602,0.007623355
1279d3b58e227d2edde9455ab9970c99,0.003584316,0.005564675,0.00552444
7b177cfea3b8f54208dbb65150e47b81,-0.055673317,-0.007933214,-0.025284227
a718d69a004061291d499b270b0ca6ed,0.00167403,0.002368382,0.007020153
892a20bbdc3ce599dc0c5d9f0866c352,0.031910776,-0.097677555,0.015499984
6c2a9a5a94270ee454cfb2dea1d31449,-0.107137067,-0.27562865,0.141370356
a31b8bc30e79657573910e8a7247e406,0.002960028,0.004520116,0.006013244
4df210fcd2a05434ee5d21db68469e81,0.00481128,0.00026801,0.010055053
